survey_id,site_code,survey_start,survey_end,survey_method,observation_hours,observed_bat_count,acoustic_detection_count,nightly_visit_count,colony_estimate,comparison_species_count,observer_team,survey_quality,weather_interference
BAT-0000035,KNT-KES,2021-11-05T18:00:00,2021-11-12T00:00:00,acoustic_and_visual,35.3,8,14,8,8.0,14,TEAM-11-2,high,22.1
BAT-0000036,KNT-KES,2021-12-05T18:00:00,2021-12-12T00:00:00,acoustic_and_visual,35.1,13,19,5,15.0,14,TEAM-11-2,high,9.5
BAT-0000037,KNT-KES,2022-01-05T18:00:00,2022-01-12T00:00:00,acoustic_transect,32.1,18,19,12,24.2,16,TEAM-11-2,high,22.2
BAT-0000038,KNT-KES,2022-02-05T18:00:00,2022-02-12T00:00:00,acoustic_and_visual,27.8,13,12,6,12.7,12,TEAM-11-2,acceptable,31.8
BAT-0000039,KNT-KES,2022-03-05T18:00:00,2022-03-12T00:00:00,fixed_acoustic_station,31.9,24,31,18,26.9,10,TEAM-11-2,acceptable,40.3
BAT-0000040,KNT-KES,2022-04-05T18:00:00,2022-04-12T00:00:00,acoustic_transect,39.3,40,38,35,50.0,10,TEAM-11-2,high,32.7
BAT-0000041,KNT-KES,2022-05-05T18:00:00,2022-05-12T00:00:00,fixed_acoustic_station,34.4,25,28,17,30.9,8,TEAM-11-2,acceptable,35.7
BAT-0000042,KNT-KES,2022-06-05T18:00:00,2022-06-12T00:00:00,fixed_acoustic_station,31.4,36,52,22,46.2,6,TEAM-11-2,high,44.3
BAT-0000043,KNT-KES,2022-07-05T18:00:00,2022-07-12T00:00:00,acoustic_transect,27.9,18,23,9,18.3,10,TEAM-11-2,acceptable,46.2
BAT-0000044,KNT-KES,2022-08-05T18:00:00,2022-08-12T00:00:00,acoustic_transect,24.5,11,34,6,13.9,13,TEAM-11-2,acceptable,51.7
BAT-0000045,KNT-KES,2022-09-05T18:00:00,2022-09-12T00:00:00,fixed_acoustic_station,28.6,22,34,10,21.1,6,TEAM-11-2,acceptable,31.2
BAT-0000046,KNT-KES,2022-10-05T18:00:00,2022-10-12T00:00:00,acoustic_and_visual,28.7,15,10,6,16.2,8,TEAM-11-2,acceptable,40.6
BAT-0000047,KNT-KES,2022-11-05T18:00:00,2022-11-12T00:00:00,acoustic_and_visual,43.7,20,33,18,19.1,2,TEAM-11-2,acceptable,10.9
BAT-0000048,KNT-KES,2022-12-05T18:00:00,2022-12-12T00:00:00,acoustic_transect,33.3,16,24,15,15.7,6,TEAM-11-2,high,27.3
BAT-0000049,KNT-KES,2023-01-05T18:00:00,2023-01-12T00:00:00,acoustic_transect,36.9,13,40,11,13.1,15,TEAM-11-2,high,12.2
BAT-0000050,KNT-KES,2023-02-05T18:00:00,2023-02-12T00:00:00,acoustic_and_visual,41.7,41,52,19,43.8,10,TEAM-11-2,high,15.5
BAT-0000051,KNT-KES,2023-03-05T18:00:00,2023-03-12T00:00:00,acoustic_transect,33.8,21,45,16,22.4,5,TEAM-11-2,high,24.1
BAT-0000052,KNT-KES,2023-04-05T18:00:00,2023-04-12T00:00:00,acoustic_and_visual,31.3,22,34,12,27.9,11,TEAM-11-2,acceptable,29.2
BAT-0000053,KNT-KES,2023-05-05T18:00:00,2023-05-12T00:00:00,fixed_acoustic_station,25.1,17,34,13,17.7,9,TEAM-11-2,acceptable,40.5
BAT-0000054,KNT-KES,2023-06-05T18:00:00,2023-06-12T00:00:00,fixed_acoustic_station,27.0,33,30,11,38.3,9,TEAM-11-2,high,54.9
BAT-0000055,KNT-KES,2023-07-05T18:00:00,2023-07-12T00:00:00,acoustic_and_visual,26.3,15,19,8,14.4,10,TEAM-11-2,high,35.4
BAT-0000056,KNT-KES,2023-08-05T18:00:00,2023-08-12T00:00:00,acoustic_and_visual,28.2,17,33,9,16.9,11,TEAM-11-2,high,34.5
BAT-0000057,KNT-KES,2023-09-05T18:00:00,2023-09-12T00:00:00,acoustic_transect,26.9,10,13,6,6.8,15,TEAM-11-2,acceptable,44.1
BAT-0000058,KNT-KES,2023-10-05T18:00:00,2023-10-12T00:00:00,fixed_acoustic_station,30.2,11,15,14,16.3,9,TEAM-11-2,high,31.8
BAT-0000059,KNT-KES,2023-11-05T18:00:00,2023-11-12T00:00:00,acoustic_transect,35.2,23,28,15,29.5,11,TEAM-11-2,acceptable,26.1
BAT-0000060,KNT-KES,2023-12-05T18:00:00,2023-12-12T00:00:00,fixed_acoustic_station,33.7,8,17,14,9.6,7,TEAM-11-2,high,15.9
BAT-0000061,KNT-KES,2024-01-05T18:00:00,2024-01-12T00:00:00,acoustic_transect,31.2,17,38,18,17.7,5,TEAM-11-2,high,30.1
BAT-0000062,KNT-KES,2024-02-05T18:00:00,2024-02-12T00:00:00,acoustic_transect,31.4,21,37,22,24.8,8,TEAM-11-2,high,17.2
BAT-0000063,KNT-KES,2024-03-05T18:00:00,2024-03-12T00:00:00,acoustic_transect,31.9,16,30,11,18.5,18,TEAM-11-2,acceptable,21.5
BAT-0000064,KNT-KES,2024-04-05T18:00:00,2024-04-12T00:00:00,acoustic_and_visual,29.9,10,15,5,9.5,13,TEAM-11-2,acceptable,29.9
BAT-0000065,KNT-KES,2024-05-05T18:00:00,2024-05-12T00:00:00,acoustic_and_visual,27.1,3,12,9,5.7,9,TEAM-11-2,acceptable,47.0
BAT-0000066,KNT-KES,2024-06-05T18:00:00,2024-06-12T00:00:00,acoustic_and_visual,28.6,14,7,5,15.8,10,TEAM-11-2,acceptable,54.1
BAT-0000067,KNT-KES,2024-07-05T18:00:00,2024-07-12T00:00:00,fixed_acoustic_station,30.0,11,9,10,10.1,16,TEAM-11-2,high,48.9
BAT-0000068,KNT-KES,2024-08-05T18:00:00,2024-08-12T00:00:00,acoustic_and_visual,20.1,5,21,5,4.9,12,TEAM-11-2,high,56.8
BAT-0000069,KNT-KES,2024-09-05T18:00:00,2024-09-12T00:00:00,acoustic_and_visual,31.5,13,14,13,15.1,10,TEAM-11-2,acceptable,25.8
BAT-0000070,KNT-KES,2024-10-05T18:00:00,2024-10-12T00:00:00,acoustic_transect,38.0,6,19,7,7.4,12,TEAM-11-2,high,20.6
BAT-0000071,KNT-KES,2024-11-05T18:00:00,2024-11-12T00:00:00,acoustic_transect,32.0,7,18,9,7.0,9,TEAM-11-2,high,20.6
BAT-0000072,KNT-KES,2024-12-05T18:00:00,2024-12-12T00:00:00,acoustic_and_visual,35.5,13,20,10,10.9,12,TEAM-11-2,high,21.0
BAT-0000073,KNT-KES,2025-01-05T18:00:00,2025-01-12T00:00:00,acoustic_and_visual,28.2,10,24,9,10.1,11,TEAM-11-2,high,27.5
BAT-0000074,KNT-KES,2025-02-05T18:00:00,2025-02-12T00:00:00,fixed_acoustic_station,28.5,9,32,14,10.6,8,TEAM-11-2,acceptable,18.6
BAT-0000075,KNT-KES,2025-03-05T18:00:00,2025-03-12T00:00:00,fixed_acoustic_station,28.3,23,13,8,27.7,11,TEAM-11-2,acceptable,44.0
BAT-0000076,KNT-KES,2025-04-05T18:00:00,2025-04-12T00:00:00,acoustic_transect,27.6,21,31,10,22.9,17,TEAM-11-2,acceptable,41.3
BAT-0000077,KNT-KES,2025-05-05T18:00:00,2025-05-12T00:00:00,acoustic_and_visual,30.0,23,39,16,26.8,11,TEAM-11-2,high,40.8
BAT-0000078,KNT-KES,2025-06-05T18:00:00,2025-06-12T00:00:00,acoustic_transect,31.5,32,29,18,29.5,14,TEAM-11-2,acceptable,51.6
BAT-0000079,KNT-LUM,2019-01-05T18:00:00,2019-01-12T00:00:00,fixed_acoustic_station,37.7,12,26,11,13.4,11,TEAM-11-3,high,25.2
BAT-0000080,KNT-LUM,2019-02-05T18:00:00,2019-02-12T00:00:00,acoustic_transect,34.7,18,29,12,21.4,8,TEAM-11-3,high,18.2
BAT-0000081,KNT-LUM,2019-03-05T18:00:00,2019-03-12T00:00:00,fixed_acoustic_station,35.1,25,20,22,32.2,13,TEAM-11-3,acceptable,34.2
BAT-0000082,KNT-LUM,2019-04-05T18:00:00,2019-04-12T00:00:00,acoustic_and_visual,32.7,18,17,12,19.6,11,TEAM-11-3,acceptable,40.3
BAT-0000083,KNT-LUM,2019-05-05T18:00:00,2019-05-12T00:00:00,fixed_acoustic_station,25.5,11,13,13,12.5,7,TEAM-11-3,high,37.9
BAT-0000084,KNT-LUM,2019-06-05T18:00:00,2019-06-12T00:00:00,acoustic_transect,25.4,16,20,11,22.4,11,TEAM-11-3,acceptable,64.6
BAT-0000085,KNT-LUM,2019-07-05T18:00:00,2019-07-12T00:00:00,acoustic_transect,23.9,10,12,6,10.2,10,TEAM-11-3,acceptable,42.3
BAT-0000086,KNT-LUM,2019-08-05T18:00:00,2019-08-12T00:00:00,acoustic_and_visual,23.5,15,15,3,18.9,14,TEAM-11-3,high,57.5
BAT-0000087,KNT-LUM,2019-09-05T18:00:00,2019-09-12T00:00:00,fixed_acoustic_station,24.7,4,8,3,6.1,9,TEAM-11-3,acceptable,49.8
BAT-0000088,KNT-LUM,2019-10-05T18:00:00,2019-10-12T00:00:00,acoustic_and_visual,30.5,3,10,3,4.8,9,TEAM-11-3,acceptable,33.4
BAT-0000089,KNT-LUM,2019-11-05T18:00:00,2019-11-12T00:00:00,acoustic_and_visual,34.2,1,9,0,2.6,11,TEAM-11-3,high,20.2
BAT-0000090,KNT-LUM,2019-12-05T18:00:00,2019-12-12T00:00:00,acoustic_and_visual,31.4,8,12,4,11.7,10,TEAM-11-3,high,12.3
BAT-0000091,KNT-LUM,2020-01-05T18:00:00,2020-01-12T00:00:00,acoustic_transect,35.3,4,8,1,1.1,9,TEAM-11-3,high,20.5
BAT-0000092,KNT-LUM,2020-02-05T18:00:00,2020-02-12T00:00:00,acoustic_and_visual,34.9,5,7,6,6.1,11,TEAM-11-3,acceptable,10.7
BAT-0000093,KNT-LUM,2020-03-05T18:00:00,2020-03-12T00:00:00,acoustic_transect,39.1,12,17,8,15.0,14,TEAM-11-3,high,16.0
BAT-0000094,KNT-LUM,2020-04-05T18:00:00,2020-04-12T00:00:00,acoustic_transect,29.5,7,11,9,10.9,7,TEAM-11-3,high,31.4
BAT-0000095,KNT-LUM,2020-05-05T18:00:00,2020-05-12T00:00:00,acoustic_and_visual,28.1,7,20,10,6.8,11,TEAM-11-3,acceptable,44.1
BAT-0000096,KNT-LUM,2020-06-05T18:00:00,2020-06-12T00:00:00,acoustic_transect,19.1,13,9,6,13.9,11,TEAM-11-3,acceptable,68.3
BAT-0000097,KNT-LUM,2020-07-05T18:00:00,2020-07-12T00:00:00,acoustic_transect,26.4,11,9,8,11.4,12,TEAM-11-3,acceptable,56.9
BAT-0000098,KNT-LUM,2020-08-05T18:00:00,2020-08-12T00:00:00,acoustic_transect,28.1,12,15,5,14.3,10,TEAM-11-3,acceptable,53.2
BAT-0000099,KNT-LUM,2020-09-05T18:00:00,2020-09-12T00:00:00,acoustic_transect,30.4,21,39,13,21.8,10,TEAM-11-3,high,28.5
BAT-0000100,KNT-LUM,2020-10-05T18:00:00,2020-10-12T00:00:00,fixed_acoustic_station,27.0,12,17,6,13.5,15,TEAM-11-3,high,41.3
BAT-0000101,KNT-LUM,2020-11-05T18:00:00,2020-11-12T00:00:00,fixed_acoustic_station,34.1,18,13,10,24.2,14,TEAM-11-3,acceptable,24.2
BAT-0000102,KNT-LUM,2020-12-05T18:00:00,2020-12-12T00:00:00,acoustic_transect,22.7,6,12,3,5.9,12,TEAM-11-3,limited,26.7
BAT-0000103,KNT-LUM,2021-01-05T18:00:00,2021-01-12T00:00:00,acoustic_transect,34.6,18,26,10,19.7,13,TEAM-11-3,high,34.1
BAT-0000104,KNT-LUM,2021-02-05T18:00:00,2021-02-12T00:00:00,fixed_acoustic_station,31.9,17,9,12,19.3,13,TEAM-11-3,acceptable,26.2
BAT-0000105,KNT-LUM,2021-03-05T18:00:00,2021-03-12T00:00:00,fixed_acoustic_station,24.2,8,16,6,12.7,9,TEAM-11-3,limited,24.0
BAT-0000106,KNT-LUM,2021-04-05T18:00:00,2021-04-12T00:00:00,acoustic_and_visual,32.7,17,20,15,12.9,5,TEAM-11-3,acceptable,45.7
BAT-0000107,KNT-LUM,2021-05-05T18:00:00,2021-05-12T00:00:00,acoustic_and_visual,25.6,14,9,11,11.7,9,TEAM-11-3,high,54.1
BAT-0000108,KNT-LUM,2021-06-05T18:00:00,2021-06-12T00:00:00,fixed_acoustic_station,23.9,15,11,8,12.9,6,TEAM-11-3,acceptable,67.7
BAT-0000109,KNT-LUM,2021-07-05T18:00:00,2021-07-12T00:00:00,acoustic_and_visual,23.3,14,9,7,17.4,13,TEAM-11-3,acceptable,64.4
BAT-0000110,KNT-LUM,2021-08-05T18:00:00,2021-08-12T00:00:00,acoustic_and_visual,18.2,7,10,6,7.0,10,TEAM-11-3,acceptable,62.2
BAT-0000111,KNT-LUM,2021-09-05T18:00:00,2021-09-12T00:00:00,acoustic_and_visual,22.5,10,18,9,11.0,16,TEAM-11-3,acceptable,53.1
BAT-0000112,KNT-LUM,2021-10-05T18:00:00,2021-10-12T00:00:00,acoustic_and_visual,26.7,12,14,4,13.1,15,TEAM-11-3,high,41.9
BAT-0000113,KNT-LUM,2021-11-05T18:00:00,2021-11-12T00:00:00,acoustic_transect,40.7,13,18,9,13.5,15,TEAM-11-3,high,17.0
BAT-0000114,KNT-LUM,2021-12-05T18:00:00,2021-12-12T00:00:00,fixed_acoustic_station,32.6,16,27,7,18.5,9,TEAM-11-3,high,13.0
BAT-0000115,KNT-LUM,2022-01-05T18:00:00,2022-01-12T00:00:00,fixed_acoustic_station,30.4,17,15,11,14.2,11,TEAM-11-3,high,18.9
BAT-0000116,KNT-LUM,2022-02-05T18:00:00,2022-02-12T00:00:00,acoustic_and_visual,27.6,10,18,11,8.0,16,TEAM-11-3,acceptable,26.4
BAT-0000117,KNT-LUM,2022-03-05T18:00:00,2022-03-12T00:00:00,fixed_acoustic_station,34.8,19,25,11,25.9,15,TEAM-11-3,high,28.4
BAT-0000118,KNT-LUM,2022-04-05T18:00:00,2022-04-12T00:00:00,acoustic_and_visual,25.7,15,21,12,14.6,8,TEAM-11-3,acceptable,42.0
BAT-0000119,KNT-LUM,2022-05-05T18:00:00,2022-05-12T00:00:00,fixed_acoustic_station,29.9,11,21,13,13.7,13,TEAM-11-3,high,54.9
BAT-0000120,KNT-LUM,2022-06-05T18:00:00,2022-06-12T00:00:00,acoustic_transect,26.0,9,12,7,10.7,10,TEAM-11-3,acceptable,57.8
BAT-0000121,KNT-LUM,2022-07-05T18:00:00,2022-07-12T00:00:00,acoustic_transect,17.8,10,15,9,11.0,13,TEAM-11-3,acceptable,44.7
BAT-0000122,KNT-LUM,2022-08-05T18:00:00,2022-08-12T00:00:00,acoustic_transect,25.8,11,10,9,10.5,9,TEAM-11-3,high,57.9
BAT-0000123,KNT-LUM,2022-09-05T18:00:00,2022-09-12T00:00:00,acoustic_transect,32.1,17,10,17,20.5,9,TEAM-11-3,high,44.5
BAT-0000124,KNT-LUM,2022-10-05T18:00:00,2022-10-12T00:00:00,acoustic_and_visual,32.2,10,15,14,11.2,8,TEAM-11-3,high,38.4
BAT-0000125,KNT-LUM,2022-11-05T18:00:00,2022-11-12T00:00:00,fixed_acoustic_station,29.6,15,15,9,15.0,14,TEAM-11-3,acceptable,32.9
BAT-0000126,KNT-LUM,2022-12-05T18:00:00,2022-12-12T00:00:00,acoustic_and_visual,26.0,8,13,8,6.4,11,TEAM-11-3,high,31.0
BAT-0000127,KNT-LUM,2023-01-05T18:00:00,2023-01-12T00:00:00,acoustic_and_visual,35.7,16,30,8,19.9,11,TEAM-11-3,high,16.4
BAT-0000128,KNT-LUM,2023-02-05T18:00:00,2023-02-12T00:00:00,fixed_acoustic_station,31.3,14,23,11,13.8,13,TEAM-11-3,high,39.0
BAT-0000129,KNT-LUM,2023-03-05T18:00:00,2023-03-12T00:00:00,acoustic_transect,35.7,21,39,18,20.2,11,TEAM-11-3,high,21.5
BAT-0000130,KNT-LUM,2023-04-05T18:00:00,2023-04-12T00:00:00,acoustic_transect,29.9,29,22,13,28.9,11,TEAM-11-3,high,41.0
BAT-0000131,KNT-LUM,2023-05-05T18:00:00,2023-05-12T00:00:00,acoustic_and_visual,23.2,21,27,7,29.6,9,TEAM-11-3,high,52.6
BAT-0000132,KNT-LUM,2023-06-05T18:00:00,2023-06-12T00:00:00,acoustic_and_visual,23.3,12,19,6,16.9,10,TEAM-11-3,acceptable,54.2
BAT-0000133,KNT-LUM,2023-07-05T18:00:00,2023-07-12T00:00:00,acoustic_transect,19.9,13,23,10,12.2,15,TEAM-11-3,acceptable,62.4
BAT-0000134,KNT-LUM,2023-08-05T18:00:00,2023-08-12T00:00:00,acoustic_transect,29.1,6,24,14,8.2,10,TEAM-11-3,acceptable,58.2
BAT-0000135,KNT-LUM,2023-09-05T18:00:00,2023-09-12T00:00:00,fixed_acoustic_station,29.5,3,3,2,3.1,11,TEAM-11-3,acceptable,69.5
BAT-0000136,KNT-LUM,2023-10-05T18:00:00,2023-10-12T00:00:00,fixed_acoustic_station,32.6,3,6,1,2.1,14,TEAM-11-3,acceptable,35.9
BAT-0000137,KNT-LUM,2023-11-05T18:00:00,2023-11-12T00:00:00,acoustic_transect,27.4,3,9,3,6.0,10,TEAM-11-3,acceptable,32.7
BAT-0000138,KNT-LUM,2023-12-05T18:00:00,2023-12-12T00:00:00,acoustic_and_visual,40.4,11,16,7,12.4,15,TEAM-11-3,high,12.1
BAT-0000139,KNT-LUM,2024-01-05T18:00:00,2024-01-12T00:00:00,acoustic_transect,37.2,16,24,10,17.6,6,TEAM-11-3,high,15.6
BAT-0000140,KNT-LUM,2024-02-05T18:00:00,2024-02-12T00:00:00,fixed_acoustic_station,29.9,4,13,5,7.2,8,TEAM-11-3,high,36.8
BAT-0000141,KNT-LUM,2024-03-05T18:00:00,2024-03-12T00:00:00,acoustic_transect,36.7,17,23,12,16.9,6,TEAM-11-3,high,20.0
BAT-0000142,KNT-LUM,2024-04-05T18:00:00,2024-04-12T00:00:00,fixed_acoustic_station,23.5,6,12,3,8.7,10,TEAM-11-3,high,62.7
BAT-0000143,KNT-LUM,2024-05-05T18:00:00,2024-05-12T00:00:00,fixed_acoustic_station,26.4,8,5,2,7.7,12,TEAM-11-3,acceptable,70.8
BAT-0000144,KNT-LUM,2024-06-05T18:00:00,2024-06-12T00:00:00,acoustic_and_visual,19.4,9,7,7,9.1,9,TEAM-11-3,acceptable,60.9
BAT-0000145,KNT-LUM,2024-07-05T18:00:00,2024-07-12T00:00:00,acoustic_transect,27.1,4,12,2,2.9,11,TEAM-11-3,acceptable,55.4
BAT-0000146,KNT-LUM,2024-08-05T18:00:00,2024-08-12T00:00:00,fixed_acoustic_station,21.4,7,11,6,10.4,10,TEAM-11-3,acceptable,65.3
BAT-0000147,KNT-LUM,2024-09-05T18:00:00,2024-09-12T00:00:00,fixed_acoustic_station,32.3,5,12,7,2.1,8,TEAM-11-3,acceptable,66.9
BAT-0000148,KNT-LUM,2024-10-05T18:00:00,2024-10-12T00:00:00,acoustic_and_visual,28.9,13,18,10,14.3,13,TEAM-11-3,high,54.4
BAT-0000149,KNT-LUM,2024-11-05T18:00:00,2024-11-12T00:00:00,acoustic_transect,31.7,26,31,15,29.3,13,TEAM-11-3,acceptable,26.8
BAT-0000150,KNT-LUM,2024-12-05T18:00:00,2024-12-12T00:00:00,acoustic_transect,38.9,20,18,15,23.3,11,TEAM-11-3,high,15.4
BAT-0000151,KNT-LUM,2025-01-05T18:00:00,2025-01-12T00:00:00,acoustic_transect,39.5,15,26,9,15.7,7,TEAM-11-3,high,11.5
BAT-0000152,KNT-LUM,2025-02-05T18:00:00,2025-02-12T00:00:00,acoustic_transect,12.5,3,9,9,1.0,12,TEAM-11-3,limited,11.4
BAT-0000153,KNT-LUM,2025-03-05T18:00:00,2025-03-12T00:00:00,acoustic_and_visual,37.0,24,19,10,30.8,13,TEAM-11-3,high,25.2
BAT-0000154,KNT-LUM,2025-04-05T18:00:00,2025-04-12T00:00:00,acoustic_transect,27.0,14,28,11,16.0,13,TEAM-11-3,acceptable,40.4
BAT-0000155,KNT-LUM,2025-05-05T18:00:00,2025-05-12T00:00:00,acoustic_transect,30.8,13,24,13,14.5,13,TEAM-11-3,high,30.8
BAT-0000156,KNT-LUM,2025-06-05T18:00:00,2025-06-12T00:00:00,fixed_acoustic_station,22.1,9,15,6,8.3,8,TEAM-11-3,acceptable,61.9
BAT-0000157,KNT-SEN,2019-01-05T18:00:00,2019-01-12T00:00:00,fixed_acoustic_station,16.9,5,9,4,7.8,16,TEAM-11-4,limited,19.3
BAT-0000158,KNT-SEN,2019-02-05T18:00:00,2019-02-12T00:00:00,fixed_acoustic_station,35.2,20,27,25,22.5,16,TEAM-11-4,acceptable,27.9
BAT-0000159,KNT-SEN,2019-03-05T18:00:00,2019-03-12T00:00:00,acoustic_transect,29.6,26,27,17,32.1,11,TEAM-11-4,acceptable,23.7
BAT-0000160,KNT-SEN,2019-04-05T18:00:00,2019-04-12T00:00:00,fixed_acoustic_station,34.2,18,13,20,21.6,11,TEAM-11-4,acceptable,43.0
BAT-0000161,KNT-SEN,2019-05-05T18:00:00,2019-05-12T00:00:00,fixed_acoustic_station,33.6,25,26,24,29.6,7,TEAM-11-4,acceptable,43.7
BAT-0000162,KNT-SEN,2019-06-05T18:00:00,2019-06-12T00:00:00,acoustic_transect,30.5,26,37,11,32.3,10,TEAM-11-4,high,47.4
BAT-0000163,KNT-SEN,2019-07-05T18:00:00,2019-07-12T00:00:00,acoustic_and_visual,22.4,17,22,15,22.1,22,TEAM-11-4,acceptable,60.5
BAT-0000164,KNT-SEN,2019-08-05T18:00:00,2019-08-12T00:00:00,acoustic_transect,16.0,11,6,8,14.4,11,TEAM-11-4,acceptable,80.7
BAT-0000165,KNT-SEN,2019-09-05T18:00:00,2019-09-12T00:00:00,fixed_acoustic_station,31.0,16,20,5,11.6,5,TEAM-11-4,acceptable,40.9
