site_code,reporting_month,mean_temperature_c,rainfall_mm,mean_humidity_pct,vegetation_cover_pct,habitat_disturbance_index,pesticide_index,land_use_category,weather_exception_code,data_completeness_pct
AVL-ABG,2021-10-01,25.55,270.2,84.5,80.3,6.3,41.3,mixed_forest,NONE,89.1
AVL-ABG,2021-11-01,25.68,224.6,82.3,68.2,12.4,35.7,mixed_forest,NONE,93.1
AVL-ABG,2021-12-01,25.63,153.2,76.5,69.8,16.6,28.4,mixed_forest,NONE,96.0
AVL-ABG,2022-01-01,27.17,108.0,74.7,60.4,10.0,31.1,mixed_forest,NONE,94.7
AVL-ABG,2022-02-01,27.83,27.0,67.3,60.1,13.7,32.5,mixed_forest,DRY_SPELL,96.0
AVL-ABG,2022-03-01,27.92,102.5,65.2,60.0,15.5,27.7,mixed_forest,NONE,94.3
AVL-ABG,2022-04-01,29.31,91.9,66.4,54.0,0.8,36.0,mixed_forest,NONE,98.3
AVL-ABG,2022-05-01,27.95,120.3,64.6,61.4,0.0,36.3,mixed_forest,NONE,95.6
AVL-ABG,2022-06-01,27.96,116.9,73.4,63.0,24.0,39.6,mixed_forest,NONE,98.5
AVL-ABG,2022-07-01,27.21,208.0,84.8,69.7,8.9,41.2,mixed_forest,NONE,94.6
AVL-ABG,2022-08-01,26.29,287.0,80.7,74.6,19.0,42.1,mixed_forest,NONE,96.5
AVL-ABG,2022-09-01,25.7,239.3,76.8,73.5,19.8,36.0,mixed_forest,NONE,97.5
AVL-ABG,2022-10-01,25.79,218.3,84.7,72.1,19.1,33.9,mixed_forest,NONE,100.0
AVL-ABG,2022-11-01,26.07,239.2,79.4,77.1,10.7,29.1,mixed_forest,NONE,100.0
AVL-ABG,2022-12-01,26.32,127.1,75.6,73.1,14.3,39.1,mixed_forest,NONE,96.8
AVL-ABG,2023-01-01,26.76,125.9,70.7,62.6,15.3,28.0,mixed_forest,NONE,95.8
AVL-ABG,2023-02-01,27.81,111.6,63.3,59.3,17.7,33.9,mixed_forest,NONE,97.8
AVL-ABG,2023-03-01,29.13,83.3,69.7,59.4,9.4,24.4,mixed_forest,NONE,93.6
AVL-ABG,2023-04-01,28.96,90.1,67.6,51.7,6.3,48.7,mixed_forest,NONE,97.6
AVL-ABG,2023-05-01,28.6,99.6,72.0,60.9,14.9,27.3,mixed_forest,NONE,93.8
AVL-ABG,2023-06-01,26.94,124.0,74.7,68.2,28.8,33.9,mixed_forest,NONE,94.7
AVL-ABG,2023-07-01,27.32,231.5,76.9,67.3,11.8,33.4,mixed_forest,NONE,94.0
AVL-ABG,2023-08-01,26.03,312.7,86.3,65.1,13.4,37.5,mixed_forest,NONE,94.0
AVL-ABG,2023-09-01,25.94,263.3,83.2,73.3,16.8,37.4,mixed_forest,NONE,97.0
AVL-ABG,2023-10-01,24.65,232.4,87.8,76.3,7.3,32.9,mixed_forest,NONE,93.3
AVL-ABG,2023-11-01,25.28,249.4,75.5,58.3,8.5,37.2,mixed_forest,NONE,100.0
AVL-ABG,2023-12-01,25.93,177.6,71.2,71.6,13.5,24.8,mixed_forest,NONE,96.9
AVL-ABG,2024-01-01,28.02,89.2,73.3,63.7,0.0,23.9,mixed_forest,NONE,96.2
AVL-ABG,2024-02-01,27.61,73.4,65.3,56.0,22.0,30.2,mixed_forest,NONE,95.1
AVL-ABG,2024-03-01,29.68,40.3,67.5,55.9,20.9,27.1,mixed_forest,NONE,100.0
AVL-ABG,2024-04-01,28.5,58.5,65.1,55.2,13.1,37.7,mixed_forest,NONE,100.0
AVL-ABG,2024-05-01,29.42,111.3,66.4,66.8,4.6,28.9,mixed_forest,NONE,95.0
AVL-ABG,2024-06-01,28.36,193.4,74.1,67.0,7.0,25.6,mixed_forest,NONE,100.0
AVL-ABG,2024-07-01,27.13,226.5,83.8,74.7,7.3,37.4,mixed_forest,NONE,93.6
AVL-ABG,2024-08-01,26.46,302.2,80.8,73.6,16.1,37.6,mixed_forest,HEAVY_RAIN,97.1
AVL-ABG,2024-09-01,25.54,247.2,84.4,72.8,0.4,42.4,mixed_forest,NONE,99.9
AVL-ABG,2024-10-01,25.14,230.2,86.5,76.2,11.1,35.1,mixed_forest,NONE,100.0
AVL-ABG,2024-11-01,24.78,219.0,79.9,70.3,18.2,37.9,mixed_forest,NONE,100.0
AVL-ABG,2024-12-01,26.6,174.7,77.6,70.3,9.2,13.6,mixed_forest,NONE,94.8
AVL-ABG,2025-01-01,27.88,138.8,71.3,60.1,11.9,39.2,mixed_forest,NONE,93.8
AVL-ABG,2025-02-01,28.59,97.0,69.6,57.5,17.8,32.3,mixed_forest,NONE,93.5
AVL-ABG,2025-03-01,28.89,16.6,60.7,58.4,12.8,37.3,mixed_forest,DRY_SPELL,97.6
AVL-ABG,2025-04-01,27.98,87.1,68.9,60.0,9.0,34.0,mixed_forest,NONE,98.5
AVL-ABG,2025-05-01,28.72,106.5,67.6,65.4,12.2,40.5,mixed_forest,NONE,94.7
AVL-ABG,2025-06-01,28.14,185.6,76.4,61.5,15.9,30.3,mixed_forest,NONE,98.8
AVL-ARU,2019-01-01,25.41,92.2,74.1,51.0,42.2,21.4,research_site,NONE,96.7
AVL-ARU,2019-02-01,26.46,101.3,71.3,49.2,41.6,49.7,research_site,NONE,99.1
AVL-ARU,2019-03-01,27.32,40.4,69.9,41.9,58.7,47.2,research_site,NONE,100.0
AVL-ARU,2019-04-01,28.03,106.2,70.7,40.1,53.1,50.4,research_site,NONE,93.7
AVL-ARU,2019-05-01,27.58,95.1,72.1,46.2,45.3,11.0,research_site,NONE,96.5
AVL-ARU,2019-06-01,27.55,145.4,71.9,55.2,49.2,7.4,research_site,NONE,95.9
AVL-ARU,2019-07-01,26.95,183.0,84.6,55.2,61.1,20.8,research_site,NONE,98.4
AVL-ARU,2019-08-01,25.6,212.3,81.6,59.9,58.0,50.1,research_site,NONE,97.5
AVL-ARU,2019-09-01,24.95,228.1,84.1,58.4,47.8,49.7,research_site,NONE,96.7
AVL-ARU,2019-10-01,24.19,217.7,86.2,51.8,56.1,60.3,research_site,NONE,99.9
AVL-ARU,2019-11-01,24.08,204.0,82.3,61.6,49.3,6.2,research_site,NONE,99.9
AVL-ARU,2019-12-01,25.64,159.8,82.0,47.1,45.6,21.4,research_site,NONE,95.1
AVL-ARU,2020-01-01,26.3,110.6,68.0,48.1,50.1,11.7,research_site,NONE,88.1
AVL-ARU,2020-02-01,26.21,102.4,70.7,50.0,49.2,46.6,research_site,NONE,96.9
AVL-ARU,2020-03-01,28.59,68.2,67.4,44.9,45.4,58.7,research_site,NONE,94.2
AVL-ARU,2020-04-01,28.64,48.6,71.5,44.2,54.9,44.0,research_site,NONE,96.4
AVL-ARU,2020-05-01,26.98,151.7,71.8,51.4,48.6,18.2,research_site,NONE,98.6
AVL-ARU,2020-06-01,26.88,150.7,73.2,54.0,51.7,9.0,research_site,NONE,96.3
AVL-ARU,2020-07-01,25.51,181.0,82.8,58.3,44.3,21.5,research_site,NONE,96.1
AVL-ARU,2020-08-01,24.96,193.3,81.2,51.2,40.5,44.3,research_site,NONE,97.4
AVL-ARU,2020-09-01,24.57,214.1,84.7,57.1,50.0,49.6,research_site,NONE,97.4
AVL-ARU,2020-10-01,24.31,216.6,85.5,55.5,53.7,53.0,research_site,NONE,95.7
AVL-ARU,2020-11-01,24.83,193.0,84.1,46.8,48.4,16.6,research_site,NONE,99.7
AVL-ARU,2020-12-01,24.8,138.9,76.8,50.1,53.2,16.5,research_site,NONE,88.0
AVL-ARU,2021-01-01,26.03,85.2,72.2,51.0,48.5,19.4,research_site,NONE,98.2
AVL-ARU,2021-02-01,27.05,71.6,68.3,48.1,51.6,62.2,research_site,NONE,96.4
AVL-ARU,2021-03-01,27.96,82.2,67.4,43.8,54.9,42.3,research_site,NONE,97.8
AVL-ARU,2021-04-01,28.8,53.8,65.3,48.0,37.2,38.4,research_site,NONE,93.6
AVL-ARU,2021-05-01,27.4,72.0,76.2,46.4,45.7,14.2,research_site,NONE,94.7
AVL-ARU,2021-06-01,27.17,167.8,75.5,53.8,43.0,20.5,research_site,NONE,96.4
AVL-ARU,2021-07-01,25.8,163.9,79.2,60.5,55.5,14.4,research_site,NONE,93.6
AVL-ARU,2021-08-01,25.83,227.5,82.4,59.5,48.2,47.4,research_site,NONE,97.7
AVL-ARU,2021-09-01,24.82,229.6,87.5,55.4,56.5,37.4,research_site,NONE,93.0
AVL-ARU,2021-10-01,23.98,206.5,86.6,56.4,45.6,47.2,research_site,NONE,93.5
AVL-ARU,2021-11-01,24.63,185.3,81.0,51.6,63.6,15.2,research_site,NONE,98.2
AVL-ARU,2021-12-01,24.83,157.6,79.1,51.6,42.5,19.9,research_site,NONE,94.1
AVL-ARU,2022-01-01,26.34,82.5,81.8,46.4,41.2,2.9,research_site,NONE,100.0
AVL-ARU,2022-02-01,26.94,90.1,69.4,45.0,66.9,36.8,research_site,NONE,96.2
AVL-ARU,2022-03-01,27.31,65.9,73.5,42.8,57.7,44.3,research_site,NONE,97.2
AVL-ARU,2022-04-01,27.74,70.1,64.7,38.0,60.6,59.1,research_site,NONE,98.5
AVL-ARU,2022-05-01,27.49,119.1,75.3,40.0,57.8,0.0,research_site,NONE,94.0
AVL-ARU,2022-06-01,26.64,164.5,77.8,42.6,51.5,12.5,research_site,NONE,94.1
AVL-ARU,2022-07-01,26.65,155.6,81.8,55.6,37.4,8.8,research_site,NONE,93.5
AVL-ARU,2022-08-01,25.84,258.2,86.1,54.0,48.1,44.0,research_site,NONE,96.8
AVL-ARU,2022-09-01,24.18,241.5,83.4,51.2,42.0,40.1,research_site,NONE,95.2
AVL-ARU,2022-10-01,25.01,212.9,81.0,49.9,48.8,39.3,research_site,NONE,96.9
AVL-ARU,2022-11-01,24.42,183.0,81.8,55.9,40.1,2.5,research_site,NONE,96.4
AVL-ARU,2022-12-01,24.89,169.0,76.9,50.7,51.2,17.6,research_site,NONE,97.3
AVL-ARU,2023-01-01,25.85,143.3,73.0,54.9,50.7,26.2,research_site,NONE,97.6
AVL-ARU,2023-02-01,27.87,37.6,76.7,43.3,47.0,44.7,research_site,NONE,95.1
AVL-ARU,2023-03-01,28.58,70.4,69.3,50.9,54.9,34.6,research_site,NONE,90.9
AVL-ARU,2023-04-01,27.46,73.6,66.9,43.3,47.0,44.2,research_site,NONE,96.5
AVL-ARU,2023-05-01,28.02,111.1,74.8,46.5,40.0,18.7,research_site,NONE,99.3
AVL-ARU,2023-06-01,27.66,120.1,79.5,51.0,40.9,24.1,research_site,NONE,97.7
AVL-ARU,2023-07-01,25.75,155.6,86.1,56.9,49.9,11.6,research_site,NONE,95.3
AVL-ARU,2023-08-01,25.16,243.4,84.7,55.3,57.1,46.9,research_site,NONE,94.7
AVL-ARU,2023-09-01,24.6,224.3,86.0,61.4,46.4,44.0,research_site,NONE,89.8
AVL-ARU,2023-10-01,24.0,228.7,87.5,60.7,58.8,61.6,research_site,NONE,97.9
AVL-ARU,2023-11-01,24.82,191.6,82.7,54.8,48.3,9.5,research_site,NONE,100.0
AVL-ARU,2023-12-01,24.19,124.7,81.3,51.5,49.4,10.5,research_site,NONE,90.2
AVL-ARU,2024-01-01,25.82,58.1,72.9,48.6,48.9,28.8,research_site,NONE,95.0
AVL-ARU,2024-02-01,26.32,109.2,72.7,35.1,53.4,50.8,research_site,NONE,90.7
AVL-ARU,2024-03-01,27.24,100.9,68.6,40.3,44.4,68.4,research_site,NONE,99.6
AVL-ARU,2024-04-01,28.22,91.4,70.5,43.2,45.6,44.6,research_site,NONE,98.1
AVL-ARU,2024-05-01,28.21,80.8,71.4,51.1,54.5,23.6,research_site,NONE,96.3
AVL-ARU,2024-06-01,26.05,89.6,71.2,53.0,64.6,18.1,research_site,NONE,96.5
AVL-ARU,2024-07-01,26.32,176.3,83.7,54.6,44.8,17.2,research_site,NONE,92.2
AVL-ARU,2024-08-01,26.0,227.2,82.0,59.7,47.0,54.5,research_site,NONE,97.2
AVL-ARU,2024-09-01,24.73,227.8,91.8,60.1,52.9,40.9,research_site,NONE,93.2
AVL-ARU,2024-10-01,23.91,213.1,85.6,62.4,45.1,48.7,research_site,NONE,96.6
AVL-ARU,2024-11-01,25.14,193.3,92.1,59.7,55.2,5.2,research_site,NONE,96.6
AVL-ARU,2024-12-01,25.89,152.5,79.3,48.7,43.5,22.4,research_site,NONE,93.8
AVL-ARU,2025-01-01,26.42,118.1,74.2,41.6,56.6,11.4,research_site,NONE,95.4
AVL-ARU,2025-02-01,26.17,74.5,68.8,46.9,53.0,55.0,research_site,NONE,97.1
AVL-ARU,2025-03-01,27.52,67.8,65.2,41.2,48.8,46.9,research_site,NONE,93.1
AVL-ARU,2025-04-01,28.02,60.0,71.5,48.0,52.3,44.7,research_site,NONE,98.8
AVL-ARU,2025-05-01,29.11,111.1,72.9,48.3,49.1,7.0,research_site,NONE,87.9
AVL-ARU,2025-06-01,26.56,202.9,76.4,50.0,50.5,20.8,research_site,NONE,99.1
AVL-BVM,2019-01-01,27.06,99.6,74.8,66.2,13.6,11.3,research_site,NONE,93.9
AVL-BVM,2019-02-01,27.51,99.9,73.6,61.9,16.7,10.2,research_site,NONE,93.9
AVL-BVM,2019-03-01,28.49,43.3,67.7,53.7,26.8,19.4,research_site,NONE,98.5
AVL-BVM,2019-04-01,28.08,89.8,67.4,65.6,21.7,5.9,research_site,NONE,96.6
AVL-BVM,2019-05-01,28.44,75.5,72.6,65.9,16.1,19.4,research_site,NONE,100.0
AVL-BVM,2019-06-01,27.82,153.6,80.0,65.8,22.9,0.0,research_site,NONE,99.2
AVL-BVM,2019-07-01,26.6,219.5,79.0,61.4,17.4,7.1,research_site,NONE,96.7
AVL-BVM,2019-08-01,25.96,219.9,81.1,73.0,37.1,14.4,research_site,NONE,96.4
AVL-BVM,2019-09-01,25.67,280.1,85.9,78.1,21.8,10.1,research_site,NONE,96.2
AVL-BVM,2019-10-01,24.5,249.9,81.4,68.7,23.4,10.3,research_site,NONE,98.8
AVL-BVM,2019-11-01,25.33,217.6,81.3,75.0,18.0,14.8,research_site,NONE,93.8
AVL-BVM,2019-12-01,27.39,153.6,76.1,63.5,17.8,9.6,research_site,NONE,97.2
AVL-BVM,2020-01-01,26.9,156.9,74.6,68.4,22.6,15.9,research_site,NONE,96.7
AVL-BVM,2020-02-01,27.65,61.7,73.1,62.3,17.6,14.8,research_site,NONE,89.5
AVL-BVM,2020-03-01,28.39,54.4,66.8,67.3,20.3,1.9,research_site,NONE,94.0
AVL-BVM,2020-04-01,28.28,28.2,72.0,61.0,17.5,0.0,research_site,DRY_SPELL,93.5
AVL-BVM,2020-05-01,28.86,121.0,74.0,73.5,19.4,2.3,research_site,NONE,99.0
AVL-BVM,2020-06-01,27.85,158.8,76.0,64.4,10.7,13.2,research_site,NONE,91.6
AVL-BVM,2020-07-01,26.17,211.8,82.6,78.0,25.1,8.2,research_site,NONE,92.6
AVL-BVM,2020-08-01,26.37,243.5,82.9,78.3,9.8,7.2,research_site,NONE,100.0
AVL-BVM,2020-09-01,26.13,225.4,86.3,72.6,17.4,18.2,research_site,NONE,92.7
AVL-BVM,2020-10-01,25.72,256.5,82.5,74.2,22.3,11.2,research_site,NONE,95.1
AVL-BVM,2020-11-01,25.8,205.4,77.6,73.5,16.1,5.3,research_site,NONE,94.2
AVL-BVM,2020-12-01,26.12,151.9,82.8,71.0,30.8,5.2,research_site,NONE,95.1
AVL-BVM,2021-01-01,26.79,123.9,73.5,68.4,21.5,0.0,research_site,NONE,99.9
AVL-BVM,2021-02-01,27.41,83.2,73.2,66.0,15.3,4.6,research_site,NONE,100.0
AVL-BVM,2021-03-01,29.39,90.0,69.6,60.4,20.5,14.1,research_site,NONE,96.4
AVL-BVM,2021-04-01,29.55,79.4,69.0,61.1,17.5,13.7,research_site,NONE,93.0
AVL-BVM,2021-05-01,28.72,99.3,68.2,65.6,18.3,11.1,research_site,NONE,97.3
AVL-BVM,2021-06-01,27.63,201.5,78.1,66.6,11.4,24.7,research_site,NONE,92.1
AVL-BVM,2021-07-01,26.79,209.7,79.5,69.8,24.6,11.2,research_site,NONE,98.2
AVL-BVM,2021-08-01,26.3,184.7,84.6,73.9,18.7,19.5,research_site,NONE,95.6
AVL-BVM,2021-09-01,25.59,239.1,89.7,76.1,18.4,10.2,research_site,NONE,95.0
AVL-BVM,2021-10-01,25.7,216.6,77.8,75.9,24.2,14.2,research_site,NONE,90.9
AVL-BVM,2021-11-01,25.24,196.3,80.1,76.4,23.2,2.6,research_site,NONE,98.3
AVL-BVM,2021-12-01,26.91,143.7,72.3,70.2,18.9,6.9,research_site,NONE,96.7
AVL-BVM,2022-01-01,27.56,103.7,74.3,66.8,26.2,21.3,research_site,NONE,91.4
AVL-BVM,2022-02-01,27.63,82.5,70.0,62.1,9.0,4.3,research_site,NONE,93.9
AVL-BVM,2022-03-01,29.76,67.1,66.2,67.8,33.9,10.0,research_site,NONE,98.1
AVL-BVM,2022-04-01,28.72,34.2,68.4,63.2,15.7,14.4,research_site,DRY_SPELL,96.5
AVL-BVM,2022-05-01,27.75,159.1,71.9,68.8,21.4,4.1,research_site,NONE,95.0
AVL-BVM,2022-06-01,27.48,132.0,77.7,68.2,11.8,9.9,research_site,NONE,94.3
AVL-BVM,2022-07-01,26.93,228.3,79.2,68.3,18.1,6.6,research_site,NONE,100.0
AVL-BVM,2022-08-01,26.64,243.0,84.0,68.8,28.4,24.0,research_site,NONE,98.8
AVL-BVM,2022-09-01,25.9,255.1,83.3,82.5,18.2,11.0,research_site,NONE,91.7
AVL-BVM,2022-10-01,25.53,232.3,82.9,79.8,10.7,0.0,research_site,NONE,94.5
AVL-BVM,2022-11-01,24.62,205.4,81.8,58.7,29.0,5.5,research_site,NONE,91.9
AVL-BVM,2022-12-01,25.74,202.5,77.9,65.9,7.8,17.0,research_site,NONE,97.7
AVL-BVM,2023-01-01,26.88,90.7,75.3,62.2,22.7,1.6,research_site,NONE,96.8
AVL-BVM,2023-02-01,27.45,82.5,72.1,62.7,24.9,17.0,research_site,NONE,90.3
AVL-BVM,2023-03-01,28.09,49.2,68.1,59.9,8.2,16.7,research_site,NONE,94.1
AVL-BVM,2023-04-01,29.11,50.0,73.7,59.4,20.8,11.6,research_site,NONE,97.1
AVL-BVM,2023-05-01,28.84,140.7,71.5,63.4,22.6,4.3,research_site,NONE,97.8
AVL-BVM,2023-06-01,28.49,118.8,78.4,64.3,18.6,11.0,research_site,NONE,91.5
AVL-BVM,2023-07-01,27.19,198.4,82.5,76.5,17.0,11.9,research_site,NONE,100.0
AVL-BVM,2023-08-01,26.09,250.3,87.4,77.2,28.9,0.0,research_site,NONE,95.1
AVL-BVM,2023-09-01,25.48,272.4,90.7,80.5,18.8,4.6,research_site,NONE,91.6
AVL-BVM,2023-10-01,25.56,191.8,89.3,77.4,23.5,18.2,research_site,NONE,94.8
AVL-BVM,2023-11-01,25.52,249.9,83.5,77.8,15.0,7.2,research_site,NONE,96.3
AVL-BVM,2023-12-01,25.95,162.5,75.1,64.1,20.2,18.6,research_site,NONE,100.0
AVL-BVM,2024-01-01,27.73,150.0,74.1,65.6,17.7,9.6,research_site,NONE,92.1
AVL-BVM,2024-02-01,27.76,81.9,71.4,52.8,24.8,4.4,research_site,NONE,93.4
AVL-BVM,2024-03-01,27.98,25.6,73.0,64.3,29.3,6.8,research_site,DRY_SPELL,100.0
AVL-BVM,2024-04-01,29.05,86.5,74.2,64.0,19.2,4.9,research_site,NONE,99.3
AVL-BVM,2024-05-01,28.6,109.2,77.3,66.7,20.4,10.1,research_site,NONE,97.1
AVL-BVM,2024-06-01,27.7,150.5,78.2,71.2,23.5,3.5,research_site,NONE,96.6
AVL-BVM,2024-07-01,27.08,241.7,85.6,71.2,18.4,1.4,research_site,NONE,92.0
AVL-BVM,2024-08-01,25.5,283.9,84.0,71.0,18.1,0.0,research_site,NONE,95.5
AVL-BVM,2024-09-01,26.04,227.4,80.6,76.9,27.9,1.3,research_site,NONE,98.5
AVL-BVM,2024-10-01,25.08,247.3,84.6,74.0,18.8,7.6,research_site,NONE,96.6
AVL-BVM,2024-11-01,26.35,224.0,83.8,70.2,11.2,0.0,research_site,NONE,99.4
AVL-BVM,2024-12-01,25.95,137.0,75.7,71.3,20.0,5.0,research_site,NONE,95.9
AVL-BVM,2025-01-01,27.28,118.5,66.9,58.0,24.7,13.5,research_site,NONE,93.7
AVL-BVM,2025-02-01,28.08,108.5,74.3,60.5,10.5,7.8,research_site,NONE,97.7
AVL-BVM,2025-03-01,27.95,55.7,64.0,62.3,39.2,8.7,research_site,NONE,94.9
AVL-BVM,2025-04-01,29.41,72.3,68.8,56.0,13.2,13.6,research_site,NONE,93.9
AVL-BVM,2025-05-01,29.22,102.7,71.7,60.5,22.3,12.9,research_site,NONE,100.0
AVL-BVM,2025-06-01,28.53,148.0,74.9,66.1,26.3,0.7,research_site,NONE,99.3
AVL-BWK,2019-01-01,25.88,120.2,72.5,65.1,36.4,0.0,mixed_forest,NONE,94.4
AVL-BWK,2019-02-01,27.24,67.9,69.1,62.9,18.6,2.8,mixed_forest,NONE,99.2
AVL-BWK,2019-03-01,27.26,72.6,70.8,54.7,27.1,10.8,mixed_forest,NONE,93.4
AVL-BWK,2019-04-01,26.33,49.1,64.4,62.7,32.8,13.4,mixed_forest,NONE,93.8
AVL-BWK,2019-05-01,28.22,119.4,74.4,66.0,27.5,16.6,mixed_forest,NONE,97.8
AVL-BWK,2019-06-01,26.46,136.7,76.0,64.6,31.8,11.3,mixed_forest,NONE,98.1
AVL-BWK,2019-07-01,25.57,158.3,82.3,70.7,22.7,11.5,mixed_forest,NONE,93.2
AVL-BWK,2019-08-01,24.82,210.2,82.6,71.9,21.7,23.8,mixed_forest,NONE,95.8
AVL-BWK,2019-09-01,24.0,175.7,88.7,76.6,26.7,19.1,mixed_forest,NONE,97.2
AVL-BWK,2019-10-01,24.34,205.9,82.1,72.2,18.8,12.7,mixed_forest,NONE,93.9
AVL-BWK,2019-11-01,25.37,164.8,80.5,70.9,25.8,10.3,mixed_forest,NONE,100.0
AVL-BWK,2019-12-01,24.57,106.4,77.1,70.1,24.8,5.1,mixed_forest,NONE,93.5
AVL-BWK,2020-01-01,26.36,92.1,82.0,66.7,17.0,18.4,mixed_forest,NONE,99.4
AVL-BWK,2020-02-01,27.04,77.5,70.6,62.1,24.9,15.1,mixed_forest,NONE,99.8
AVL-BWK,2020-03-01,27.45,22.1,68.6,61.7,27.1,12.5,mixed_forest,DRY_SPELL,94.2
AVL-BWK,2020-04-01,27.34,88.7,70.7,59.4,23.2,3.5,mixed_forest,NONE,96.6
AVL-BWK,2020-05-01,26.97,108.3,70.3,67.5,20.5,12.7,mixed_forest,NONE,100.0
AVL-BWK,2020-06-01,27.27,125.0,77.9,66.7,20.0,13.3,mixed_forest,NONE,92.7
AVL-BWK,2020-07-01,26.24,146.9,81.1,77.1,15.0,17.1,mixed_forest,NONE,95.8
AVL-BWK,2020-08-01,25.84,203.6,82.4,77.2,16.0,11.2,mixed_forest,NONE,96.2
AVL-BWK,2020-09-01,24.6,189.1,82.5,76.7,3.0,0.0,mixed_forest,NONE,92.1
AVL-BWK,2020-10-01,23.86,253.0,83.0,61.0,23.7,12.6,mixed_forest,NONE,89.4
AVL-BWK,2020-11-01,23.97,180.4,82.0,77.9,23.7,5.9,mixed_forest,NONE,100.0
AVL-BWK,2020-12-01,26.54,96.7,77.1,64.2,29.9,13.0,mixed_forest,NONE,97.1
AVL-BWK,2021-01-01,26.17,123.9,72.8,65.8,20.0,10.2,mixed_forest,NONE,97.8
AVL-BWK,2021-02-01,26.98,62.5,70.1,58.0,26.9,13.5,mixed_forest,NONE,90.9
AVL-BWK,2021-03-01,28.16,49.3,71.8,56.6,19.4,8.2,mixed_forest,NONE,92.6
AVL-BWK,2021-04-01,26.75,59.7,70.9,58.9,22.4,19.9,mixed_forest,NONE,94.9
AVL-BWK,2021-05-01,27.41,75.3,77.5,68.4,27.5,7.1,mixed_forest,NONE,93.1
